Category	Included_for_CRISPRi	Entrez_ID	Gene_symbol	Achilles_mean_probability	Achilles_common	BlomenHart_intersect	BlomenHart_intersect_DepMap	Hart_3_or_more_lines	Hart_HeLa	Blomen_HAP1_KBM7_intersect
Vacuolation hits	Yes	308	ANXA5	0.00406968755833628	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	1072	CFL1	0.626530322397744	Essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	126326	GIPC3	0.0798272847022468	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	5436	POLR2G		Essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	1291	COL6A1	0.00505891867635383	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5539	PPY	0.694054931749226	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	54920	DUS2	0.0548680532606521	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10357	HMGB1P1		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	11243	PMF1		Essential	Essential	Essential	Essential	Non-essential	Essential
Vacuolation hits	Yes	25841	ABTB2	0.0108927523695851	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	10206	TRIM13	0.00771342144834554	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	9326	ZNHIT3	0.844827485006143	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	3161	HMMR	0.0240168458117014	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4141	MARS1	0.983118790097093	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	50485	SMARCAL1		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	158248	TTC16	0.00171684486855383	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	26504	CNNM4	0.0366876662197642	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23630	KCNE5		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	340024	SLC6A19	0.0152643925458553	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10574	CCT7	0.577026747429197	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	85378	TUBGCP6	0.786720332671717	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	9819	TSC22D2	0.49370690308825	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	121340	SP7	0.11242426869224	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	9194	SLC16A7	0.0297035657246487	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10444	ZER1	0.131074316902773	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
Vacuolation hits	Yes	617	BCS1L	0.538079445879839	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	155435	RBM33	0.428486451461986	Non-essential	Essential	Essential	Essential	Non-essential	Essential
Vacuolation hits	Yes	1294	COL7A1	0.163095498570306	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	2181	ACSL3	0.384492134067626	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential
Vacuolation hits	Yes	1809	DPYSL3	0.0038902252475958	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	768239	PSAPL1	0.00368336236562566	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	729911	ANKRD34C-AS1		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	29799	YPEL1	0.408596695259834	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4330	MN1	0.00404908302229921	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	54553	MIR4453HG		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	3381	IBSP	0.00720528671464382	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	27159	CHIA	0.0119759339473439	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	9362	CPNE6	0.150787135139782	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	8487	GEMIN2	0.312042841780802	Non-essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	80097	MZT2B	0.0649123969628518	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	7328	UBE2H	0.526997225421426	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	644890	MEIG1	0.000397579241006541	Non-essential	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	10325	RRAGB		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	260294	NSUN5P2		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	23082	PPRC1	0.702866975658438	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	399665	FAM102A	0.0344685989929575	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4313	MMP2	0.0262640433087002	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	56126	PCDHB10	0.0253180738476672	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	26140	TTLL3	0.0230132825345309	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	221833	SP8	0.0710123140729032	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	57758	SCUBE2	0.00221898262431178	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	118430	MUCL1	0.0245535285551419	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	79645	EFCAB1	0.00210194502940957	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	388677	NOTCH2NLA		N/A	N/A	N/A	N/A	N/A	N/A
